City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Tuktoyaktuk,CA,69.45,-133.04,47.16,80,99,7.4,overcast clouds
213,Wattegama,LK,6.8,81.48,75.92,75,100,13.11,moderate rain
214,Brodnica,PL,53.26,19.4,65.25,69,91,6.51,overcast clouds
215,Kaihua,CN,23.37,104.28,77.4,70,62,1.68,broken clouds
216,Zambezi,ZM,-13.54,23.1,54.37,49,1,5.75,clear sky
217,Russell,US,32.35,-85.2,80.2,100,0,0,clear sky
218,Port Shepstone,ZA,-30.74,30.46,64.11,66,7,4.99,clear sky
219,Thompson,CA,55.74,-97.86,51.26,53,87,4.34,overcast clouds
220,Tagusao,PH,9.19,117.81,85.91,64,91,1.21,overcast clouds
221,Saint George,US,37.1,-113.58,97.39,24,0,0,clear sky
222,Itarema,BR,-2.92,-39.92,74.66,88,23,9.98,few clouds
223,Castro,BR,-24.79,-50.01,57.92,69,7,4.21,clear sky
224,Road Town,VG,18.42,-64.62,82.49,77,95,22.37,overcast clouds
225,Azul,AR,-36.78,-59.86,41.34,90,98,5.99,overcast clouds
226,Coquimbo,CL,-29.95,-71.34,49.73,87,0,6.91,clear sky
227,Tukrah,LY,32.53,20.58,78.3,73,0,10,clear sky
228,Waipawa,NZ,-41.41,175.52,56.1,64,64,12.48,broken clouds
229,Tahoua,NE,14.89,5.27,79.7,72,100,14.07,overcast clouds
230,Gorontalo,ID,0.54,123.06,87.51,59,20,7.9,few clouds
231,Berlevag,NO,70.86,29.09,59,82,100,7.81,overcast clouds
232,Bonthe,SL,7.53,-12.51,74.66,90,82,6.91,moderate rain
233,Barao De Melgaco,BR,-16.19,-55.97,75.18,33,38,4.45,scattered clouds
234,Hithadhoo,MV,-0.6,73.08,81.7,68,100,13.49,overcast clouds
235,Tombouctou,ML,20,-3,86.43,43,100,16.35,overcast clouds
236,Adrar,MR,20.5,-10.07,91.96,31,2,14.85,clear sky
237,Pemba,MZ,-12.97,40.52,71.42,80,0,7.09,clear sky
238,Sovetskiy,RU,61.36,63.58,67.05,56,16,5.59,few clouds
239,San Joaquin,US,37.93,-121.3,93.45,33,0,6.91,clear sky
240,Naze,JP,28.37,129.48,83.59,76,79,6.67,broken clouds
241,Bambanglipuro,ID,-7.95,110.28,82.11,69,52,12.73,broken clouds
242,Henties Bay,NA,-22.12,14.28,53.33,95,99,5.55,overcast clouds
