City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Makubetsu,JP,76.71,broken clouds,45.37,141.82,RED BARON Bike Station Wakkanai
423,Dingle,PH,83.75,light rain,11.0,122.67,SEGAYA PROPERTY
425,Wilmington,US,82.9,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
428,Puri,IN,86.52,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
429,Baturaja,ID,80.94,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
433,Koroni,GR,80.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
435,Cayenne,GF,82.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
437,Harindanga,IN,86.0,light rain,22.04,88.32,Hasanur Builders
438,Portland,US,77.47,smoke,45.52,-122.68,The Bidwell Marriott Portland
440,Bandundu,CD,76.24,clear sky,-3.32,17.37,Coja Color
441,West Bay,KY,84.27,few clouds,19.37,-81.42,Calypso Cove
444,Nogales,MX,80.17,few clouds,31.31,-110.94,Siesta Motel
445,Korla,CN,89.1,clear sky,41.76,86.15,Gulisitan Hotel
455,Nam Som,TH,85.3,overcast clouds,17.77,102.19,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
459,Tieling,CN,86.76,overcast clouds,42.29,123.84,Tieling 99 Yuejia Business Guest House
461,Otaru,JP,78.64,broken clouds,43.19,141.0,GRAND PARK OTARU
463,Mecca,SA,87.31,overcast clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
464,Santa Rosa,PH,84.18,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
468,Seminole,US,82.76,few clouds,28.71,-81.21,The Oviedo Lodge Motel
470,Bud,US,78.46,broken clouds,39.45,-86.18,Ted McQuinn Trust
476,Ambagarh Chauki,IN,82.94,overcast clouds,20.78,80.72,Dewangan hotel
