City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amahai,ID,2022-08-03 23:17:54,-3.3333,128.9167,77.79,83,100,2.13
1,Santa Lucia,ES,2022-08-03 23:17:54,27.9117,-15.5407,66.76,78,20,28.77
2,Butaritari,KI,2022-08-03 23:12:13,3.0707,172.7902,81.54,77,90,16.17
3,Mahebourg,MU,2022-08-03 23:16:34,-20.4081,57.7,68.29,77,40,9.22
4,Codrington,AU,2022-08-03 23:12:13,-38.2667,141.9667,51.66,82,12,18.16
5,Busselton,AU,2022-08-03 23:11:03,-33.65,115.3333,52.48,72,90,16.98
6,Ushuaia,AR,2022-08-03 23:12:15,-54.8,-68.3,37.06,87,40,3.44
7,Punta Arenas,CL,2022-08-03 23:12:25,-53.15,-70.9167,39.31,87,100,13.8
8,Kabare,CD,2022-08-03 23:17:55,-2.4683,28.8242,62.56,84,98,0.87
9,Puerto Castilla,HN,2022-08-03 23:17:56,16.0167,-85.9667,82.63,78,100,18.14
10,Praia Da Vitoria,PT,2022-08-03 23:17:56,38.7333,-27.0667,75.76,94,40,2.17
11,Berlevag,NO,2022-08-03 23:17:57,70.8578,29.0864,57.0,89,63,8.57
12,Lima,PE,2022-08-03 23:13:26,-12.0432,-77.0282,64.9,73,100,11.5
13,Thaba-Tseka,LS,2022-08-03 23:17:57,-29.522,28.6084,40.84,90,65,3.62
14,Rocha,UY,2022-08-03 23:16:37,-34.4833,-54.3333,54.97,98,100,3.4
15,Brae,GB,2022-08-03 23:17:58,60.3964,-1.353,51.64,80,57,13.29
16,Tigzirt,DZ,2022-08-03 23:17:58,36.8886,4.1198,77.88,62,20,8.59
17,New Norfolk,AU,2022-08-03 23:13:09,-42.7826,147.0587,54.91,84,40,5.53
18,Rikitea,PF,2022-08-03 23:12:04,-23.1203,-134.9692,71.64,69,36,15.5
19,Puerto Morazan,NI,2022-08-03 23:17:59,12.8504,-87.1717,86.77,54,100,6.8
20,Saldanha,ZA,2022-08-03 23:18:00,-33.0117,17.9442,51.85,74,85,7.0
21,Souillac,MU,2022-08-03 23:18:00,-20.5167,57.5167,68.38,77,40,9.22
22,Reporoa,NZ,2022-08-03 23:18:00,-38.4333,176.35,58.44,60,2,1.86
23,Kavieng,PG,2022-08-03 23:12:35,-2.5744,150.7967,82.51,78,93,17.92
24,Faanui,PF,2022-08-03 23:18:01,-16.4833,-151.75,78.67,75,11,22.53
25,Bluff,NZ,2022-08-03 23:12:16,-46.6,168.3333,50.34,68,100,20.58
26,Taoudenni,ML,2022-08-03 23:13:01,22.6783,-3.9836,91.29,39,22,27.92
27,Inhambane,MZ,2022-08-03 23:18:02,-23.865,35.3833,65.16,70,0,5.41
28,Enshi,CN,2022-08-03 23:18:02,30.3,109.4833,75.63,89,1,1.16
29,Matara,LK,2022-08-03 23:18:03,5.9485,80.5353,76.48,83,100,18.54
30,Ust-Kuyga,RU,2022-08-03 23:18:03,70.0167,135.6,46.36,73,100,3.71
31,Sao Filipe,CV,2022-08-03 23:18:03,14.8961,-24.4956,77.18,85,74,4.45
32,Hermanus,ZA,2022-08-03 23:18:04,-34.4187,19.2345,48.79,84,4,12.08
33,Atuona,PF,2022-08-03 23:12:11,-9.8,-139.0333,77.36,80,15,13.6
34,Mataura,NZ,2022-08-03 23:12:05,-46.1927,168.8643,46.65,72,100,5.14
35,Hobart,AU,2022-08-03 23:15:02,-42.8794,147.3294,55.26,73,20,9.22
36,Lodja,CD,2022-08-03 23:18:05,-3.4833,23.4333,73.65,62,45,1.74
37,Iqaluit,CA,2022-08-03 23:11:57,63.7506,-68.5145,49.69,71,23,8.99
38,Jamestown,US,2022-08-03 23:13:09,42.097,-79.2353,87.03,43,0,11.5
39,Lakes Entrance,AU,2022-08-03 23:18:05,-37.8811,147.981,63.84,62,19,9.48
40,Zhanaozen,KZ,2022-08-03 23:18:06,43.3,52.8,80.4,26,5,10.94
41,Vieques,PR,2022-08-03 23:18:06,18.425,-65.8329,84.24,83,20,8.05
42,Limni,GR,2022-08-03 23:18:07,38.7667,23.3167,78.62,58,0,4.88
43,Mar Del Plata,AR,2022-08-03 23:18:07,-38.0023,-57.5575,50.88,91,100,5.75
44,Tuatapere,NZ,2022-08-03 23:18:08,-46.1333,167.6833,50.22,79,98,10.18
45,Aksha,RU,2022-08-03 23:19:08,50.2814,113.2867,63.03,97,100,3.27
46,Mayo,US,2022-08-03 23:19:09,38.8876,-76.5119,91.51,62,0,8.05
47,Bokovskaya,RU,2022-08-03 23:19:09,49.229,41.8306,68.74,71,98,6.44
48,Avarua,CK,2022-08-03 23:13:02,-21.2078,-159.775,78.85,53,20,13.8
49,Port Alfred,ZA,2022-08-03 23:12:41,-33.5906,26.891,59.18,91,28,1.01
50,Cape Town,ZA,2022-08-03 23:10:07,-33.9258,18.4232,56.12,80,96,7.0
51,Saint George,US,2022-08-03 23:17:45,37.1041,-113.5841,102.63,24,0,5.99
52,Pustoshka,RU,2022-08-03 23:19:10,56.3355,29.369,58.14,84,19,1.48
53,Tasiilaq,GL,2022-08-03 23:19:10,65.6145,-37.6368,33.96,71,79,3.15
54,Kismayo,SO,2022-08-03 23:19:11,-0.3582,42.5454,75.15,81,21,17.47
55,Lebu,CL,2022-08-03 23:19:11,-37.6167,-73.65,48.36,88,53,5.5
56,Kapaa,US,2022-08-03 23:11:02,22.0752,-159.319,84.52,69,20,14.97
57,Komsomolskiy,UZ,2022-08-03 23:19:12,40.4272,71.7189,75.72,40,35,1.39
58,Norman Wells,CA,2022-08-03 23:19:12,65.282,-126.8329,64.44,63,75,12.66
59,Vao,NC,2022-08-03 23:19:13,-22.6667,167.4833,72.18,80,46,13.6
60,Yellowknife,CA,2022-08-03 23:13:00,62.456,-114.3525,60.35,48,85,3.94
61,Merauke,ID,2022-08-03 23:19:13,-8.4667,140.3333,79.3,84,26,13.62
62,Tuktoyaktuk,CA,2022-08-03 23:12:23,69.4541,-133.0374,47.53,80,95,5.99
63,Chuy,UY,2022-08-03 23:12:22,-33.6971,-53.4616,57.13,99,100,5.66
64,Kholbon,RU,2022-08-03 23:19:14,51.8833,116.25,62.67,98,100,7.67
65,Vaini,TO,2022-08-03 23:12:06,-21.2,-175.2,80.76,94,40,10.36
66,Edd,ER,2022-08-03 23:19:15,13.9297,41.6925,89.33,61,100,4.97
67,Narsaq,GL,2022-08-03 23:19:15,60.9167,-46.05,50.22,94,100,2.21
68,Saint-Philippe,RE,2022-08-03 23:12:18,-21.3585,55.7679,65.79,82,49,9.37
69,Port Elizabeth,ZA,2022-08-03 23:19:16,-33.918,25.5701,57.49,94,0,12.66
70,Havre-Saint-Pierre,CA,2022-08-03 23:19:16,50.2334,-63.5986,59.36,77,0,10.36
71,Nanortalik,GL,2022-08-03 23:19:16,60.1432,-45.2371,49.8,95,100,21.65
72,Westport,US,2022-08-03 23:19:17,41.1415,-73.3579,87.12,63,0,8.05
73,Hilo,US,2022-08-03 23:12:20,19.7297,-155.09,84.25,75,0,10.36
74,Cabo San Lucas,MX,2022-08-03 23:19:17,22.8909,-109.9124,95.61,43,0,3.44
75,Kaitangata,NZ,2022-08-03 23:12:16,-46.2817,169.8464,47.07,75,100,5.23
76,Hovd,MN,2022-08-03 23:19:18,48.0056,91.6419,65.25,46,99,1.86
77,Sitka,US,2022-08-03 23:17:54,57.0531,-135.33,62.49,72,100,3.44
78,Los Llanos De Aridane,ES,2022-08-03 23:19:19,28.6585,-17.9182,71.13,88,40,18.41
79,Bassila,BJ,2022-08-03 23:19:19,9.0081,1.6654,70.59,96,77,3.98
80,Honiara,SB,2022-08-03 23:19:20,-9.4333,159.95,86.13,63,5,7.29
81,Khatanga,RU,2022-08-03 23:12:11,71.9667,102.5,51.39,65,100,9.91
82,Georgetown,MY,2022-08-03 23:15:11,5.4112,100.3354,79.9,91,40,3.44
83,Chenzhou,CN,2022-08-03 23:19:20,25.8,113.0333,78.01,88,28,1.79
84,Fernan-Nunez,ES,2022-08-03 23:19:21,37.6884,-4.7247,84.33,44,0,7.11
85,Hasaki,JP,2022-08-03 23:19:21,35.7333,140.8333,75.29,85,100,13.18
86,Ilheus,BR,2022-08-03 23:14:40,-14.7889,-39.0494,68.63,81,0,5.55
87,Ribeira Grande,PT,2022-08-03 23:13:04,38.5167,-28.7,75.87,88,18,5.86
88,Ilulissat,GL,2022-08-03 23:19:22,69.2167,-51.1,50.02,62,100,2.3
89,Coihueco,CL,2022-08-03 23:18:05,-36.6167,-71.8333,36.34,93,0,5.75
90,Maku,IR,2022-08-03 23:19:23,39.2911,44.4521,72.64,48,5,1.79
91,Carnarvon,AU,2022-08-03 23:19:23,-24.8667,113.6333,64.67,55,98,16.15
92,Salalah,OM,2022-08-03 23:20:24,17.0151,54.0924,78.89,94,100,0.0
93,Avera,US,2022-08-03 23:20:24,33.194,-82.5271,78.55,92,85,8.93
94,Torbay,CA,2022-08-03 23:20:25,47.6666,-52.7314,71.58,86,75,19.57
95,Kahului,US,2022-08-03 23:16:31,20.8947,-156.47,86.02,54,40,23.02
96,Maltahohe,NA,2022-08-03 23:12:21,-24.8333,16.9833,51.93,51,0,5.61
97,Swan Hill,AU,2022-08-03 23:20:26,-35.3378,143.5544,57.38,70,71,5.59
98,Mount Isa,AU,2022-08-03 23:20:26,-20.7333,139.5,78.57,53,75,11.5
99,Nome,US,2022-08-03 23:20:26,64.5011,-165.4064,55.47,82,100,10.36
100,Chokurdakh,RU,2022-08-03 23:13:07,70.6333,147.9167,49.77,64,97,10.65
101,Pandan,PH,2022-08-03 23:20:27,14.0453,124.1694,79.84,87,100,1.36
102,Sainte-Suzanne,RE,2022-08-03 23:20:27,-20.9061,55.6089,68.18,83,40,8.05
103,Luwuk,ID,2022-08-03 23:20:28,-0.9516,122.7875,76.62,79,93,4.92
104,Geraldton,AU,2022-08-03 23:12:57,-28.7667,114.6,59.41,72,40,18.41
105,Araxa,BR,2022-08-03 23:15:31,-19.5933,-46.9406,73.36,40,0,9.22
106,Fortuna,US,2022-08-03 23:20:29,40.5982,-124.1573,73.92,72,20,12.66
107,Virginia Beach,US,2022-08-03 23:19:44,36.8529,-75.978,89.06,77,40,5.75
108,Sobolevo,RU,2022-08-03 23:20:29,54.4299,31.8996,63.48,92,91,0.16
109,Ormara,PK,2022-08-03 23:13:02,25.2088,64.6357,81.5,88,72,7.2
110,Cherskiy,RU,2022-08-03 23:20:30,68.75,161.3,50.45,71,100,8.52
111,Albany,US,2022-08-03 23:09:55,42.6001,-73.9662,87.64,49,4,3.18
112,Bolshoye Selo,RU,2022-08-03 23:20:31,57.7177,38.9334,62.46,80,91,2.59
113,Zyryanka,RU,2022-08-03 23:20:31,65.75,150.85,55.42,91,100,7.58
114,Kodinsk,RU,2022-08-03 23:20:32,58.6881,99.1844,51.73,86,64,3.8
115,Kodiak,US,2022-08-03 23:20:32,57.79,-152.4072,65.71,59,75,9.22
116,Adrar,MR,2022-08-03 23:20:32,20.5022,-10.0711,97.07,24,7,13.71
117,Pangoa,PE,2022-08-03 23:20:33,-12.1167,-73.0,70.66,91,69,2.04
118,Ostrovnoy,RU,2022-08-03 23:20:33,68.0531,39.5131,53.04,87,47,14.94
119,Jaru,BR,2022-08-03 23:20:34,-10.4389,-62.4664,85.41,40,74,4.03
120,Cayenne,GF,2022-08-03 23:13:03,4.9333,-52.3333,82.09,1,0,3.44
121,Blagoyevo,RU,2022-08-03 23:20:34,63.3667,47.9167,57.76,88,50,4.43
122,Luderitz,NA,2022-08-03 23:20:35,-26.6481,15.1594,53.92,94,2,11.25
123,Lata,PT,2022-08-03 23:20:35,40.1629,-8.3327,60.35,99,12,1.72
124,Coffs Harbour,AU,2022-08-03 23:20:35,-30.3,153.1333,67.96,68,20,10.36
125,Waingapu,ID,2022-08-03 23:20:36,-9.6567,120.2641,72.81,82,53,6.76
126,Te Anau,NZ,2022-08-03 23:20:36,-45.4167,167.7167,45.55,93,98,7.23
127,Qaanaaq,GL,2022-08-03 23:20:37,77.484,-69.3632,45.82,61,63,1.88
128,Margate,GB,2022-08-03 23:20:37,51.3813,1.3862,67.69,87,78,1.99
129,Dinguiraye,GN,2022-08-03 23:20:37,11.3,-10.7167,70.74,95,84,2.53
130,Roma,US,2022-08-03 23:20:38,43.2128,-75.4557,86.86,50,0,4.61
131,Tucuman,AR,2022-08-03 23:20:38,-26.8241,-65.2226,60.8,63,100,6.91
